State_Activo,ProjectHealth_Bueno,OnHold,ProjectType_MasFrecuente,BG_MasFrecuente,Project Type,Geographical scope,Project manager,State,Project size,Project organization,BG,Project Health,On-hold,Percent complete
1,1,1,1,1,1,63,2,1,3,1,1,1,1,26.47
1,0,0,1,0,1,62,15,1,2,1,2,2,2,52.17
1,0,1,1,0,1,51,20,1,1,1,2,2,1,95.85
1,1,0,1,0,1,51,15,1,3,1,2,1,2,20.9
1,1,1,1,0,1,61,2,1,1,1,2,1,1,24.3
1,1,1,0,0,4,57,50,1,2,4,2,1,1,13.18
1,0,0,0,0,2,60,1,1,1,3,4,2,2,99.25
1,1,1,0,1,4,50,38,1,2,1,1,1,1,91.45
1,1,1,0,1,2,50,51,1,2,2,1,1,1,93.3
1,1,1,0,0,3,58,56,1,2,25,4,1,1,9.98
1,0,0,0,0,2,15,57,1,1,8,2,3,2,0.0
1,0,1,0,0,5,15,54,1,2,24,4,2,1,0.0
1,1,1,0,0,7,15,40,1,3,8,4,1,1,20.0
1,0,1,1,0,1,59,13,1,2,1,2,2,1,53.73
1,1,1,0,0,2,49,14,1,1,2,2,1,1,30.3
1,1,1,0,0,2,49,55,1,1,2,2,1,1,44.29
1,1,1,0,1,2,83,41,1,1,2,1,1,1,49.57
1,0,1,0,0,3,82,52,1,3,27,2,2,1,1.82
1,0,1,0,0,3,81,20,1,3,1,2,2,1,98.51
1,1,1,0,1,2,56,53,1,2,8,1,1,1,52.01
1,1,0,1,0,1,4,2,1,2,1,2,1,2,61.95
1,1,1,1,0,1,4,2,1,2,1,2,1,1,89.8
1,1,1,0,0,2,4,37,1,1,2,2,1,1,93.84
1,1,1,0,0,2,4,39,1,1,2,2,1,1,0.0
1,1,0,1,0,1,4,7,1,3,1,2,1,2,90.91
1,1,1,1,0,1,4,2,1,1,1,2,1,1,36.21
0,0,0,0,0,2,2,1,2,3,3,4,3,2,0.0
1,1,1,0,0,2,2,1,1,1,3,4,1,1,96.2
1,1,0,0,0,2,2,1,1,1,3,4,1,2,31.29
1,1,1,0,0,2,2,1,1,1,3,4,1,1,97.09
1,1,1,0,0,2,2,1,1,1,3,4,1,1,6.58
1,1,1,0,0,2,2,1,1,2,3,4,1,1,1.68
1,1,0,0,0,2,2,1,1,1,3,4,1,2,99.0
1,0,0,0,0,2,2,1,1,1,3,4,2,2,19.74
1,1,0,0,0,2,2,1,1,1,3,4,1,2,4.0
1,1,1,0,0,3,87,10,1,2,7,3,1,1,52.02
1,0,1,1,0,1,24,20,1,3,1,2,2,1,10.1
1,1,1,0,0,2,24,8,1,1,2,2,1,1,9.8
1,1,1,0,0,2,24,8,1,1,2,2,1,1,10.42
1,1,1,1,0,1,84,49,1,3,4,3,1,1,99.0
1,1,1,0,0,6,85,19,1,2,9,4,1,1,99.0
1,1,1,0,0,6,86,48,1,2,9,3,1,1,99.85
1,1,1,1,1,1,88,18,1,3,4,1,1,1,11.11
1,1,0,0,1,2,89,33,1,1,14,1,1,2,30.3
1,1,1,0,0,4,90,32,1,2,4,3,1,1,77.3
1,1,0,0,0,2,91,69,1,1,2,2,1,2,7.04
1,0,1,0,1,7,29,40,1,2,17,1,2,1,40.66
1,0,1,0,1,6,29,70,1,2,26,1,2,1,0.0
1,1,1,0,1,2,55,25,1,1,2,1,1,1,93.75
1,1,0,0,0,9,54,31,1,2,9,5,1,2,99.09
1,1,1,0,0,8,53,9,1,1,1,3,1,1,30.49
1,0,1,0,0,2,52,14,1,1,2,2,2,1,99.49
1,0,1,0,1,4,48,13,1,2,1,1,2,1,5.51
1,1,1,0,1,2,48,14,1,1,2,1,1,1,15.15
1,0,0,0,1,4,73,67,1,2,23,1,2,2,12.7
1,1,1,0,0,3,71,17,1,3,16,7,1,1,24.84
1,0,0,0,0,3,80,68,1,1,6,8,2,2,99.92
1,0,1,1,1,1,9,6,1,3,11,1,2,1,90.91
0,0,0,0,1,2,9,1,2,3,3,1,3,2,0.0
1,1,1,1,1,1,9,6,1,1,11,1,1,1,24.35
1,1,1,1,1,1,9,6,1,3,11,1,1,1,90.91
1,0,1,1,1,1,35,12,1,3,1,1,2,1,3.5
1,1,1,0,1,4,35,12,1,3,1,1,1,1,1.4
1,1,1,0,0,3,30,10,1,1,7,3,1,1,15.15
1,0,1,0,0,2,30,71,1,1,2,4,2,1,1.37
1,1,1,0,0,2,72,36,1,1,2,2,1,1,99.0
1,0,1,0,1,4,14,3,1,3,1,1,2,1,47.44
1,1,1,1,1,1,14,5,1,3,1,1,1,1,1.6
1,1,1,1,1,1,14,5,1,2,1,1,1,1,82.59
1,1,1,0,0,4,75,64,1,2,4,2,1,1,82.52
1,1,1,1,0,1,74,63,1,2,4,2,1,1,28.54
1,1,1,0,1,2,76,66,1,2,14,1,1,1,64.76
1,1,1,0,0,2,77,25,1,1,2,3,1,1,90.91
1,1,1,0,0,2,78,33,1,2,14,3,1,1,36.45
1,1,1,0,0,6,79,19,1,2,9,3,1,1,49.0
1,1,1,1,1,1,13,11,1,2,1,1,1,1,41.82
1,1,1,0,1,2,13,30,1,1,2,1,1,1,44.14
1,1,0,1,1,1,13,11,1,3,1,1,1,2,98.65
1,1,1,1,0,1,28,13,1,2,1,2,1,1,75.53
1,1,1,0,0,2,28,28,1,1,2,2,1,1,6.94
1,0,1,1,0,1,28,13,1,1,1,2,2,1,58.28
1,1,0,1,1,1,26,3,1,3,1,1,1,2,45.84
1,1,1,1,1,1,26,5,1,1,1,1,1,1,99.44
1,1,1,1,1,1,26,5,1,2,1,1,1,1,18.72
1,0,1,0,0,2,70,1,1,2,3,4,3,1,4.24
0,0,0,0,0,3,11,65,2,1,16,9,3,2,0.0
0,0,0,0,0,3,11,17,2,1,6,7,3,2,0.0
1,1,1,0,0,3,11,29,1,3,6,6,1,1,0.0
1,1,1,0,0,10,11,62,1,3,19,7,1,1,25.4
0,0,0,0,0,3,12,16,2,3,6,7,3,2,0.0
1,1,1,0,0,3,12,61,1,3,28,7,1,1,91.52
0,0,0,0,0,3,12,60,2,3,16,6,3,2,0.0
1,1,0,0,0,3,6,35,1,1,6,9,1,2,41.12
1,1,1,0,0,3,6,59,1,3,18,9,1,1,19.32
1,1,1,0,0,3,6,58,1,1,13,8,1,1,87.56
1,1,0,0,0,3,6,17,1,3,6,6,1,2,0.0
1,1,1,0,0,3,6,88,1,3,13,6,1,1,33.19
1,1,1,1,0,1,31,89,1,3,12,2,1,1,3.18
1,1,1,1,0,1,31,84,1,3,12,2,1,1,5.32
1,1,0,0,0,2,69,87,1,2,29,4,1,2,63.81
1,1,1,0,1,2,25,22,1,1,2,1,1,1,10.83
1,1,1,0,1,2,25,73,1,2,2,1,1,1,5.79
1,0,1,0,1,3,25,24,1,2,7,1,2,1,13.47
1,0,0,0,1,4,68,11,1,2,1,1,2,2,73.91
1,1,1,1,0,1,66,9,1,3,1,2,1,1,5.52
1,1,1,0,0,2,67,72,1,2,21,6,1,1,82.63
1,1,1,0,0,2,7,28,1,1,2,2,1,1,99.53
1,0,0,1,0,1,7,3,1,2,1,2,2,2,10.77
1,1,0,1,0,1,7,15,1,3,1,2,1,2,45.45
1,1,1,1,0,1,7,38,1,1,1,2,1,1,51.87
1,1,1,1,0,1,7,3,1,3,1,2,1,1,27.91
1,1,1,1,1,1,10,5,1,1,1,1,1,1,79.06
1,1,1,1,1,1,10,3,1,2,1,1,1,1,15.05
0,0,1,0,1,2,10,25,2,1,2,1,3,1,0.0
1,1,1,1,1,1,10,3,1,2,1,1,1,1,14.71
0,1,0,0,0,3,65,29,2,3,6,6,1,2,0.0
1,1,1,1,1,1,64,85,1,3,5,1,1,1,96.68
0,1,1,0,0,3,106,76,3,1,7,4,1,1,0.0
1,1,1,0,0,2,8,23,1,2,8,3,1,1,0.0
1,1,1,0,1,7,8,23,1,2,8,1,1,1,0.0
1,1,1,0,0,5,8,86,1,2,30,4,1,1,0.0
1,0,1,0,0,7,8,23,1,2,8,2,2,1,0.0
1,0,0,0,0,2,107,74,1,2,15,3,2,2,47.67
1,1,1,1,1,1,19,7,1,2,1,1,1,1,37.39
1,1,1,1,1,1,19,7,1,2,1,1,1,1,91.4
1,1,1,1,1,1,19,7,1,2,1,1,1,1,30.85
1,1,1,1,1,1,36,2,1,3,1,1,1,1,70.99
1,0,1,1,1,1,36,2,1,2,1,1,2,1,97.87
1,0,0,0,0,2,95,75,1,2,15,3,2,2,22.71
1,0,1,1,0,1,16,2,1,2,1,2,2,1,82.07
1,1,1,0,0,2,16,22,1,1,2,2,1,1,81.23
1,1,0,1,0,1,16,2,1,3,1,2,1,2,59.48
1,1,1,1,1,1,37,7,1,2,1,1,1,1,95.9
1,0,1,1,1,1,37,7,1,1,1,1,2,1,85.11
0,0,1,0,0,2,5,22,2,1,2,5,3,1,0.0
1,1,1,0,0,2,5,30,1,1,2,5,1,1,82.04
1,0,1,0,0,3,5,45,1,1,13,5,2,1,65.34
1,1,1,0,0,2,5,44,1,1,2,5,1,1,43.76
1,1,1,0,0,2,5,44,1,1,2,5,1,1,28.26
1,1,1,0,0,3,94,35,1,3,6,9,1,1,91.34
1,1,0,0,0,4,27,3,1,2,1,3,1,2,26.98
1,1,1,0,0,2,27,77,1,1,2,3,1,1,1.15
1,1,1,0,0,2,27,79,1,1,2,3,1,1,4.58
1,1,1,1,0,1,38,3,1,3,1,2,1,1,21.8
1,1,1,1,0,1,38,3,1,3,1,2,1,1,68.18
1,1,1,0,0,2,32,78,1,1,2,4,1,1,26.81
1,1,1,0,0,3,32,21,1,1,18,4,1,1,2.69
1,1,1,0,0,2,93,8,1,1,2,2,1,1,9.38
0,0,1,0,0,2,34,1,2,1,3,3,3,1,0.0
1,1,1,1,0,1,34,6,1,3,11,3,1,1,45.45
1,1,1,0,1,2,92,8,1,1,2,1,1,1,0.43
1,0,1,1,0,1,104,4,1,1,5,3,2,1,45.98
1,1,1,1,1,1,33,4,1,3,5,1,1,1,5.43
1,0,1,1,1,1,33,34,1,1,12,1,2,1,34.57
1,1,1,1,1,1,17,80,1,3,5,1,1,1,90.91
1,0,0,1,1,1,17,4,1,1,5,1,2,2,90.83
1,0,1,1,1,1,17,34,1,1,12,1,2,1,5.34
1,0,1,0,1,2,105,81,1,2,8,1,2,1,20.03
1,1,0,1,1,1,39,4,1,1,5,1,1,2,3.16
1,1,1,1,1,1,39,82,1,3,5,1,1,1,50.0
1,1,1,0,0,5,3,83,1,3,10,4,1,1,16.08
1,1,1,0,0,2,3,95,1,3,17,4,1,1,96.59
1,1,1,0,0,5,3,94,1,1,10,4,1,1,20.0
1,1,1,0,0,3,3,93,1,2,10,4,1,1,63.53
1,1,1,0,0,3,3,92,1,2,10,4,1,1,82.95
1,1,1,0,0,5,3,91,1,1,10,4,1,1,9.09
1,1,1,0,0,5,3,90,1,1,10,4,1,1,99.0
1,1,1,1,0,1,102,18,1,1,4,3,1,1,62.79
1,1,0,0,0,9,103,19,1,2,9,10,1,2,63.33
1,1,1,0,0,2,18,1,1,2,3,3,1,1,9.83
0,0,0,0,0,2,18,1,2,3,3,3,3,2,0.0
1,0,1,1,0,1,18,6,1,3,11,3,2,1,90.91
1,1,1,1,0,1,100,4,1,1,5,2,1,1,35.65
1,1,1,0,0,6,101,105,1,2,9,3,1,1,66.46
1,1,1,0,0,2,99,104,1,1,14,2,1,1,30.3
1,0,0,0,1,2,98,96,1,1,31,1,2,2,16.13
1,0,0,0,0,8,97,9,1,1,1,2,2,2,23.45
1,1,1,0,0,2,44,47,1,1,2,3,1,1,8.62
1,1,1,0,0,3,44,11,1,3,1,3,1,1,15.15
1,1,1,1,1,1,96,43,1,1,12,1,1,1,3.73
1,1,0,1,0,1,21,4,1,3,5,2,1,2,96.68
1,1,1,1,0,1,21,4,1,1,5,2,1,1,15.29
1,1,1,1,0,1,21,4,1,1,5,2,1,1,0.0
1,0,0,0,0,2,47,97,1,2,8,5,2,2,90.23
1,1,1,0,0,7,47,99,1,2,17,5,1,1,99.0
1,1,0,1,0,1,111,4,1,3,5,3,1,2,5.88
1,1,1,0,0,2,110,98,1,2,8,3,1,1,85.77
1,1,1,1,1,1,109,43,1,3,12,1,1,1,4.53
1,1,1,0,0,2,118,100,1,2,2,3,1,1,17.14
1,0,1,0,0,2,46,39,1,1,2,3,2,1,61.02
1,1,0,0,0,3,46,26,1,3,1,3,1,2,17.86
1,0,1,1,0,1,108,6,1,1,11,3,2,1,26.8
1,1,1,0,1,6,117,31,1,2,9,1,1,1,96.48
1,1,0,0,0,3,116,46,1,3,22,9,1,2,36.69
1,1,1,1,0,1,114,18,1,2,4,2,1,1,33.61
1,1,1,1,0,1,115,101,1,3,5,2,1,1,18.46
1,1,0,0,0,2,113,8,1,1,2,4,1,2,9.14
1,1,1,1,1,1,22,26,1,2,1,1,1,1,4.38
1,1,1,1,1,1,22,2,1,1,1,1,1,1,16.62
1,0,1,0,1,3,22,12,1,1,1,1,2,1,41.24
1,1,1,1,0,1,23,2,1,3,1,2,1,1,57.98
1,1,1,0,0,4,23,2,1,2,1,2,1,1,28.95
1,1,1,0,0,2,23,47,1,1,2,2,1,1,29.33
1,1,1,1,1,1,112,102,1,2,4,1,1,1,46.24
1,1,1,1,0,1,40,9,1,1,1,2,1,1,90.07
1,1,1,0,0,2,40,41,1,1,2,2,1,1,35.0
1,0,1,0,0,3,119,46,1,1,22,7,3,1,12.04
1,1,1,0,0,5,45,103,1,2,10,8,1,1,20.0
1,1,1,0,0,5,45,107,1,1,10,8,1,1,5.43
1,1,1,1,1,1,123,5,1,1,32,1,1,1,51.73
1,1,1,0,1,2,122,106,1,1,2,1,1,1,1.33
1,1,1,0,0,2,121,37,1,1,2,2,1,1,4.88
1,0,1,1,0,1,120,12,1,2,1,3,2,1,75.5
1,1,1,1,0,1,20,9,1,1,1,3,1,1,15.28
1,1,1,0,0,2,20,109,1,1,2,3,1,1,15.15
1,1,1,0,0,2,20,113,1,1,2,3,1,1,15.15
1,0,0,0,0,2,125,36,1,1,2,3,2,2,15.15
1,0,0,0,0,4,41,5,1,2,1,3,2,2,7.83
1,0,0,0,0,3,41,26,1,3,1,3,2,2,0.0
0,0,1,0,0,7,1,108,2,2,33,4,2,1,0.0
1,1,1,0,0,3,1,110,1,2,7,4,1,1,29.11
1,1,0,0,1,3,1,10,1,1,7,1,1,2,9.9
1,1,1,0,0,2,1,111,1,1,19,4,1,1,0.0
1,1,1,0,0,3,1,112,1,1,7,3,1,1,3.05
1,1,1,0,0,3,1,16,1,3,6,8,1,1,90.16
1,1,1,0,0,3,1,42,1,3,7,6,1,1,21.93
1,1,1,0,0,3,1,21,1,1,18,4,1,1,34.34
1,1,1,0,0,3,1,16,1,3,6,8,1,1,26.61
1,1,1,0,0,2,1,114,1,2,34,4,1,1,32.52
1,1,1,0,0,9,1,115,1,1,20,4,1,1,98.02
1,1,1,0,0,3,1,10,1,1,7,3,1,1,1.6
1,1,1,0,1,3,1,24,1,2,20,1,1,1,92.57
1,0,1,0,1,3,1,24,1,2,7,1,2,1,65.53
1,1,1,0,0,11,1,117,1,2,21,4,1,1,14.49
1,0,1,1,0,1,1,116,1,2,15,4,2,1,4.09
1,1,1,0,0,3,1,42,1,1,16,6,1,1,29.14
1,1,1,0,0,3,1,21,1,2,13,4,1,1,23.59
1,1,1,0,0,3,1,118,1,2,15,4,1,1,16.9
1,1,1,0,0,3,1,45,1,2,13,4,1,1,57.22
1,1,1,0,1,4,124,32,1,2,4,1,1,1,99.82
1,1,1,0,0,8,43,27,1,1,4,3,1,1,0.0
1,1,1,0,0,6,43,119,1,2,9,3,1,1,99.54
1,1,1,0,0,8,126,27,1,1,4,3,1,1,0.0
1,1,1,0,0,8,42,27,1,1,4,3,1,1,85.98
1,1,1,1,0,1,42,120,1,3,4,3,1,1,0.0
0,0,0,0,0,12,127,121,4,4,35,11,3,3,0.0
